,latency,scale,throughput,avg_osd,avg_target_error,total_error,avg_movement_speed
0,0.25,0.5,1.42162553496468,5.48425409911772,15.7258178932695,21.2100719923873,165.197603200623
1,0.25,0.2,0.405330849099471,1.02865663812432,32.3925830930138,33.4212397311381,96.0207674073234
2,0.25,0.4,1.56392653723371,5.92075112329288,16.5891261683593,22.5098772916522,180.027552908611
3,0.25,0.7,1.62277864356527,4.86157138561252,19.7948297201179,24.6564011057304,204.345897440368
4,0.25,0.6,1.51068340553999,10.6412974679146,22.5204178899314,33.161715357846,203.111764484131
5,0.25,0.6,1.06042593904174,15.0780618159086,24.352799554294,39.4308613702026,202.968530280341
6,0.25,0.6,1.74883298306015,3.5780488890385,10.6036484374771,14.1816973265156,165.258976122419
7,0.25,0.8,1.70945415475174,10.9649810665047,16.4975917947102,27.4625728612149,205.638054056384
8,0.25,0.4,1.48691943140805,4.80037068462717,15.2952204573773,20.0955911420045,164.884467627592
9,0.25,0.6,1.10184520046719,11.6293082103409,26.7560021725749,38.3853103829159,202.864349189079
10,0.25,0.5,1.72362654704073,8.31414484358514,16.5566982359936,24.8708430795787,194.323882924087
11,0.25,0.1,0.648909402875221,2.52020150037603,8.48161223666178,11.0018137370378,54.1508649024023
12,0.25,0.5,1.0575645622025,16.610771206302,27.5683934597251,44.1791646660271,188.198701481949
13,0.25,0.1,0.933982165420246,0.473378353830029,13.8715554326386,14.3449337864686,70.1410677114124
14,0.25,0.3,1.40506021961207,10.0217097875691,12.5241043771766,22.5458141647457,144.087669469556
15,0.25,0.2,1.48817046825994,3.7961253661361,11.9456453747182,15.7417707408543,150.782771570084
16,0.25,0.7,2.01437160750512,2.96206190001233,12.9631758589829,15.9252377589952,189.392250296811
17,0.25,0.2,1.60602895323992,0.458778792069683,19.6398494832801,20.0986282753498,145.958879881675
18,0.25,0.5,1.36254539601976,12.8429453471312,19.6029514495097,32.445896796641,195.854356921757
19,0.25,0.5,1.57280791058508,9.44870188187646,17.1365459392555,26.585247821132,180.157933331619
20,0.25,0.3,1.23742933348533,4.56817650296758,15.0594972374106,19.6276737403782,146.967534116373
21,0.25,0.2,1.57573323483644,1.96042309693209,10.5281193902439,12.488542487176,143.024894414181
22,0.25,0.8,1.2308523045281,18.9010212783398,30.2748235317735,49.1758448101133,211.867259013031
23,0.25,0.7,1.15912127502118,11.7059889024083,26.3007665340725,38.0067554364808,207.185909917482
24,0.25,0.3,1.31012101285559,7.84587168558936,18.9115726130941,26.7574442986835,155.675204646616
25,0.25,0.7,1.78318740933109,10.6461708062683,21.5384427154262,32.1846135216945,215.738051206303
26,0.25,0.8,1.76162559260589,12.124109284205,20.9022890948137,33.0263983790187,232.74678391884
27,0.25,0.8,1.35228110882755,6.22396303696852,25.8998973684979,32.1238604054664,199.202395028947
28,0.25,0.1,0.652165916119507,2.62386219935819,11.5693338486315,14.1931960479896,59.552256469528
29,0.25,0.2,1.39263493706733,3.2346134850928,13.9206168144619,17.1552302995547,139.206184203763
30,0.25,0.8,1.50034099502935,12.2595199196282,26.4755481226853,38.7350680423135,218.558197969997
31,0.25,0.4,1.21289135721772,10.5861450259687,21.6564699426352,32.2426149686038,171.395667846479
32,0.25,0.4,1.58742593658477,11.3568823218795,22.0893990161029,33.4462813379824,208.179713306029
33,0.25,0.1,0.938372830476261,1.19302532058216,8.30395603670382,9.49698135728598,79.0899385505363
34,0.25,0.7,0.914754232030298,31.994305879995,28.2879741532574,60.2822800332524,172.270539513673
35,0.25,0.1,0.607790706487167,0.936724530139808,12.4827025931197,13.4194271232595,68.0208348615337
36,0.25,0.3,1.43404552342721,5.06178691713898,18.3014580384465,23.3632449555855,167.22563839876
37,0.25,0.6,1.91733895070839,12.3562110220198,18.0253651510151,30.3815761730349,190.155006855422
38,0.25,0.4,1.55501072192219,6.83720505060986,18.3486074573508,25.1858125079606,187.617622527808
39,0.25,0.3,1.42839990829291,5.97343209848226,13.1945990502684,19.1680311487507,141.199928824409
